date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:04	23848/23848	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Dec%202017%2009:55:24%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/css/animate.css	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/css/animate.css	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:04	40739/40739	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202017%2009:55:28%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/images/background.jpg	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/images/background.jpg	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:04	2180/2180	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Dec%202017%2009:55:30%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/images/logo.png	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/images/logo.png	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:04	18089/18089	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202017%2009:55:30%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/1.jpg	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/1.jpg	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:05	17309/17309	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202017%2009:55:32%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/2.jpg	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/2.jpg	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:05	9365/9365	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202017%2009:55:32%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/3.jpg	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/3.jpg	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:05	11693/11693	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202017%2009:55:34%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/4.jpg	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/4.jpg	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:05	16294/16294	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202017%2009:55:34%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/5.jpg	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/5.jpg	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:05	16507/16507	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202017%2009:55:34%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/6.jpg	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/6.jpg	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:06	17488/17488	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202017%2009:55:34%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/7.jpg	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/images/portfolio/7.jpg	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
